Filter Order, Weight Decimal Bits, Weight Integer Bits, Latency Min, Latency Max, Latency Min, Latency Mac, II Min, II Max, BRAM, DSP, FF, LUT, URAM
2, 16, 4,        82,        82,   0.410 us,   0.410 us,    16,    16,         0,     23,    11050,    8857,     0
2, 16, 8,        82,        82,   0.410 us,   0.410 us,    16,    16,         0,     23,    11118,    8973,     0
2, 16, 32,        83,        83,   0.415 us,   0.415 us,    18,    18,         0,     46,    16881,   11373,     0
2, 32, 4,        81,        81,   0.405 us,   0.405 us,    14,    14,         0,     44,    15249,   11048,     0
2, 32, 8,        81,        81,   0.405 us,   0.405 us,    14,    14,         0,     48,    15229,   11416,     0
2, 32, 32,        81,        81,   0.405 us,   0.405 us,    14,    14,         0,     76,    15679,   11478,     0
3, 16, 4,        83,        83,   0.415 us,   0.415 us,    17,    17,         0,     41,    12198,    9692,     0
3, 16, 8,        83,        83,   0.415 us,   0.415 us,    17,    17,         0,     41,    12334,    9869,     0
3, 16, 32,        84,        84,   0.420 us,   0.420 us,    20,    20,         0,     82,    21538,   13677,     0
3, 32, 4,        82,        82,   0.410 us,   0.410 us,    16,    16,         0,     77,    18725,   13343,     0
3, 32, 8,        82,        82,   0.410 us,   0.410 us,    16,    16,         0,     84,    18617,   13863,     0
3, 32, 32,        82,        82,   0.410 us,   0.410 us,    15,    15,         0,    134,    19656,   13830,     0
5, 16, 4,        84,        84,   0.420 us,   0.420 us,    20,    20,         0,     77,    14835,   11521,     0
5, 16, 8,        84,        84,   0.420 us,   0.420 us,    20,    20,         0,     77,    15011,   11820,     0
5, 16, 32,        88,        88,   0.440 us,   0.440 us,    23,    23,         0,    154,    31675,   18386,     0
5, 32, 4,        86,        86,   0.430 us,   0.430 us,    19,    19,         0,    143,    26757,   17972,     0
5, 32, 8,        86,        86,   0.430 us,   0.430 us,    19,    19,         0,    156,    26553,   18796,     0
5, 32, 32,        86,        86,   0.430 us,   0.430 us,    18,    18,         0,    250,    28395,   18618,     0
11, 16, 4,        86,        86,   0.430 us,   0.430 us,    28,    28,         0,    185,    22366,   16861,     0
11, 16, 8,        86,        86,   0.430 us,   0.430 us,    29,    29,         0,    185,    22284,   17508,     0
11, 16, 32,       100,       100,   0.500 us,   0.500 us,    32,    32,         0,    370,    60215,   32460,     0
11, 32, 4,        98,        98,   0.490 us,   0.490 us,    28,    28,         0,    341,    50132,   31775,     0
11, 32, 8,        98,        98,   0.490 us,   0.490 us,    28,    28,         0,    372,    49592,   33511,     0
11, 32, 32,        98,        98,   0.490 us,   0.490 us,    27,    27,         0,    598,    55168,   32834,     0
